pre,post,kind,weight
I1R,M2L,chemical,1.0
I1R,M3L,chemical,1.0
I1R,M3R,chemical,6.0
I1R,MCL,chemical,3.0
I1R,MCR,chemical,4.0
I1R,MI,chemical,1.0
I1R,NSML,chemical,1.0
I1R,I2R,chemical,6.0
I1R,M1,chemical,1.0
I1R,M2R,chemical,3.0
I1R,NSMR,chemical,2.0
I2R,I2L,chemical,3.0
I2R,I5,chemical,2.0
I2R,I6,chemical,3.0
I2R,M3R,chemical,2.0
I2R,MCL,chemical,1.0
I2R,NSML,chemical,34.0
I2R,I1R,chemical,1.0
I2R,M1,chemical,3.0
I2R,M2R,chemical,2.0
I2R,NSMR,chemical,7.0
I2R,I4,chemical,20.0
I2R,M4,chemical,3.0
M1,I2L,chemical,3.0
M1,I3,chemical,8.0
M1,I5,chemical,2.0
M1,MI,chemical,6.0
M1,NSML,chemical,2.0
M1,I1R,chemical,1.0
M1,I2R,chemical,2.0
M1,I4,chemical,1.0
M1,M4,chemical,1.0
M1,M5,chemical,1.0
M1,RIPL,chemical,1.0
M2R,I5,chemical,3.0
M2R,M3L,chemical,2.0
M2R,M3R,chemical,1.0
M2R,NSMR,chemical,1.0
M2R,I4,chemical,1.0
NSMR,I2L,chemical,1.0
NSMR,I6,chemical,4.0
NSMR,M3R,chemical,24.0
NSMR,I2R,chemical,1.0
NSMR,I4,chemical,3.0
I4,I5,chemical,2.0
I4,M2L,chemical,5.0
I4,M3L,chemical,6.0
I4,M3R,chemical,22.0
I4,MI,chemical,1.0
I4,NSML,chemical,8.0
I4,I2R,chemical,7.0
I4,NSMR,chemical,15.0
M4,I5,chemical,1.0
M4,M2L,chemical,1.0
M4,M3L,chemical,1.0
M4,MCL,chemical,1.0
M4,I4,chemical,5.0
M4,M4,chemical,15.0
M5,I5,chemical,1.0
M5,M1,chemical,1.0
RIPL,RIPL,chemical,3.0
RIPL,ADFL,chemical,3.0
RIPL,BAGL,chemical,7.0
RIPL,RIH,chemical,2.0
RIPL,OLQVL,chemical,1.0
RIPL,OLLL,chemical,4.0
RIPL,OLQDR,chemical,2.0
ASIL,AWAR,chemical,2.0
ASIL,ASGL,chemical,3.0
ASIL,ASER,chemical,8.0
ASIL,ADFL,chemical,1.0
ASIL,AWCL,chemical,3.0
ASIL,AWCR,chemical,4.0
ASIL,ASKL,chemical,3.0
ASIL,CEPVR,chemical,1.0
ASIL,AIYL,chemical,3.0
ASIL,AIYR,chemical,2.0
ASIL,AIAL,chemical,2.0
ASIL,AIZL,chemical,1.0
ASIL,RIBL,chemical,1.0
ASIL,AIBL,chemical,3.0
ASIL,SAAVL,chemical,2.0
ASIL,RIAL,chemical,3.0
ASIL,RMFL,chemical,1.0
AWAR,ASIL,chemical,2.0
AWAR,ASER,chemical,5.0
AWAR,AIYR,chemical,8.0
AWAR,ASGR,chemical,1.0
AWAR,AIAR,chemical,3.0
AWAR,AWBR,chemical,3.0
AWAR,ADFR,chemical,9.0
AWAR,AFDR,chemical,23.0
AWAR,RIR,chemical,2.0
AWAR,AUAR,chemical,1.0
AWAR,AIZR,chemical,25.0
AWAR,RIFR,chemical,5.0
AWAR,RIGR,chemical,6.0
ASGL,ASKL,chemical,2.0
ASGL,AIAL,chemical,46.0
ASGL,AIBL,chemical,17.0
ASGL,AINR,chemical,2.0
ASER,AWAR,chemical,1.0
ASER,AWCL,chemical,1.0
ASER,AWCR,chemical,1.0
ASER,ASKL,chemical,1.0
ASER,AIYL,chemical,9.0
ASER,AIYR,chemical,38.0
ASER,AIAL,chemical,8.0
ASER,AIZL,chemical,1.0
ASER,AIBL,chemical,4.0
ASER,ASEL,chemical,3.0
ASER,ASHR,chemical,2.0
ASER,ADLR,chemical,1.0
ASER,AIAR,chemical,4.0
ASER,AIBR,chemical,32.0
ASER,AFDL,chemical,2.0
ASER,AFDR,chemical,3.0
ASER,ADLL,chemical,4.0
ADFL,AWCR,chemical,2.0
ADFL,AIAL,chemical,2.0
ADFL,AIZL,chemical,39.0
ADFL,RIBL,chemical,4.0
ADFL,AIBL,chemical,2.0
ADFL,RIAL,chemical,46.0
ADFL,AIBR,chemical,1.0
ADFL,AWBL,chemical,2.0
ADFL,AFDL,chemical,1.0
ADFL,ADAL,chemical,2.0
ADFL,RIR,chemical,4.0
ADFL,RIGR,chemical,1.0
ADFL,RIGL,chemical,4.0
ADFL,SMBDL,chemical,1.0
ADFL,SMBVL,chemical,9.0
ADFL,ADLL,chemical,1.0
ADFL,URXL,chemical,1.0
ADFL,AUAL,chemical,12.0
ADFL,RIVL,chemical,1.0
ADFL,SMDVL,chemical,1.0
AWCL,ASIL,chemical,1.0
AWCL,ASER,chemical,1.0
AWCL,AWCR,chemical,11.0
AWCL,AIYL,chemical,22.0
AWCL,AIAL,chemical,2.0
AWCL,AIZL,chemical,1.0
AWCL,AIBL,chemical,12.0
AWCL,RIAL,chemical,6.0
AWCL,ASGR,chemical,1.0
AWCL,AIAR,chemical,4.0
AWCL,AIBR,chemical,2.0
AWCL,AFDL,chemical,2.0
AWCL,SMDVL,chemical,1.0
AWCL,AVAL,chemical,1.0
AWCR,ASIL,chemical,2.0
AWCR,ASER,chemical,5.0
AWCR,AWCL,chemical,17.0
AWCR,AIYL,chemical,12.0
AWCR,AIYR,chemical,22.0
AWCR,AIAL,chemical,1.0
AWCR,AIBL,chemical,3.0
AWCR,RIAL,chemical,3.0
AWCR,ASIR,chemical,2.0
AWCR,ASGR,chemical,3.0
AWCR,ASEL,chemical,8.0
AWCR,ASHR,chemical,1.0
AWCR,AIAR,chemical,8.0
AWCR,AIBR,chemical,18.0
AWCR,ADFR,chemical,1.0
AWCR,RIVL,chemical,3.0
AWCR,IL2L,chemical,2.0
ASKL,ASER,chemical,4.0
ASKL,AIAL,chemical,29.0
ASKL,AIBL,chemical,9.0
ASKL,ASJL,chemical,1.0
ASKL,AIML,chemical,5.0
CEPVR,RIAL,chemical,1.0
CEPVR,ASGR,chemical,2.0
CEPVR,ADLR,chemical,3.0
CEPVR,URYVR,chemical,2.0
CEPVR,OLQVR,chemical,11.0
CEPVR,RIAR,chemical,1.0
CEPVR,OLLR,chemical,14.0
CEPVR,RIVL,chemical,2.0
CEPVR,SMBVR,chemical,2.0
CEPVR,RICL,chemical,13.0
CEPVR,RICR,chemical,12.0
CEPVR,RIPR,chemical,3.0
CEPVR,AVEL,chemical,13.0
CEPVR,URAVR,chemical,3.0
CEPVR,CEPDR,chemical,1.0
CEPVR,SIAVR,chemical,7.0
CEPVR,RMDDR,chemical,4.0
CEPVR,SMDDR,chemical,2.0
CEPVR,RMHR,chemical,15.0
CEPVR,IL2VR,chemical,3.0
CEPVR,IL1VR,chemical,8.0
AIYL,ASER,chemical,1.0
AIYL,AWCL,chemical,5.0
AIYL,AWCR,chemical,3.0
AIYL,AIZL,chemical,67.0
AIYL,RIBL,chemical,42.0
AIYL,AIBL,chemical,3.0
AIYL,RIAL,chemical,51.0
AIYL,HSNR,chemical,1.0
AIYL,AWAL,chemical,14.0
AIYL,AFDL,chemical,2.0
AIYL,RIR,chemical,1.0
AIYL,RIH,chemical,1.0
AIYR,AWAR,chemical,1.0
AIYR,ASER,chemical,4.0
AIYR,AIYL,chemical,7.0
AIYR,ASGR,chemical,2.0
AIYR,ASEL,chemical,2.0
AIYR,AWBR,chemical,1.0
AIYR,ADFR,chemical,1.0
AIYR,AFDR,chemical,1.0
AIYR,AIZR,chemical,70.0
AIYR,RIAR,chemical,50.0
AIYR,BAGR,chemical,1.0
AIYR,AINL,chemical,1.0
AIYR,RIBR,chemical,60.0
AIYR,RIVR,chemical,1.0
AIAL,ASGL,chemical,1.0
AIAL,ASER,chemical,10.0
AIAL,ADFL,chemical,2.0
AIAL,AWCL,chemical,1.0
AIAL,AWCR,chemical,6.0
AIAL,ASKL,chemical,9.0
AIAL,AIZL,chemical,4.0
AIAL,AIBL,chemical,35.0
AIAL,ASEL,chemical,5.0
AIAL,ASJL,chemical,4.0
AIAL,PVQL,chemical,1.0
AIAL,ASHL,chemical,1.0
AIAL,ADAL,chemical,1.0
AIAL,RIR,chemical,2.0
AIAL,ADLL,chemical,1.0
AIAL,AIML,chemical,6.0
AIAL,RMGL,chemical,2.0
AIAL,RIFL,chemical,10.0
AIZL,ADFL,chemical,1.0
AIZL,AWCR,chemical,2.0
AIZL,AIAL,chemical,12.0
AIZL,AIBL,chemical,10.0
AIZL,RIAL,chemical,29.0
AIZL,ASEL,chemical,4.0
AIZL,AIBR,chemical,53.0
AIZL,AFDL,chemical,1.0
AIZL,RIGL,chemical,4.0
AIZL,SMBDL,chemical,24.0
AIZL,SMBVL,chemical,21.0
AIZL,SMDVL,chemical,3.0
AIZL,RIML,chemical,35.0
AIZL,AVER,chemical,26.0
AIZL,RICR,chemical,11.0
AIZL,AVEL,chemical,3.0
AIZL,DVA,chemical,1.0
AIZL,URYDL,chemical,3.0
AIZL,VB2,chemical,1.0
AIZL,AVKR,chemical,4.0
RIBL,RIAL,chemical,6.0
RIBL,AIBR,chemical,8.0
RIBL,RIGL,chemical,1.0
RIBL,AVBR,chemical,1.0
RIBL,AUAL,chemical,9.0
RIBL,AVAL,chemical,5.0
RIBL,AVDR,chemical,4.0
RIBL,RIML,chemical,1.0
RIBL,AVER,chemical,14.0
RIBL,BAGR,chemical,3.0
RIBL,AVEL,chemical,9.0
RIBL,RMDR,chemical,1.0
RIBL,RIS,chemical,5.0
RIBL,CEPVL,chemical,5.0
RIBL,URYDL,chemical,3.0
RIBL,SMDVR,chemical,6.0
RIBL,DVC,chemical,1.0
AIBL,AIBL,chemical,2.0
AIBL,SAAVL,chemical,3.0
AIBL,ASHR,chemical,3.0
AIBL,ASHL,chemical,1.0
AIBL,AIZR,chemical,7.0
AIBL,RIGR,chemical,5.0
AIBL,AVBL,chemical,21.0
AIBL,AVAL,chemical,5.0
AIBL,RIML,chemical,1.0
AIBL,RIBR,chemical,16.0
AIBL,AVEL,chemical,1.0
AIBL,SIAVR,chemical,2.0
AIBL,SIADR,chemical,2.0
AIBL,SAAVR,chemical,1.0
AIBL,SMDDR,chemical,16.0
AIBL,SAADL,chemical,6.0
AIBL,SAADR,chemical,10.0
AIBL,FLPL,chemical,1.0
AIBL,RIFL,chemical,1.0
AIBL,RIMR,chemical,56.0
AIBL,SMDVR,chemical,4.0
AIBL,SIBVR,chemical,2.0
AIBL,RMFR,chemical,6.0
SAAVL,AIBL,chemical,1.0
SAAVL,OLLR,chemical,1.0
SAAVL,SMDVL,chemical,1.0
SAAVL,SMBDR,chemical,2.0
SAAVL,AVAL,chemical,56.0
SAAVL,RIML,chemical,5.0
SAAVL,SMDDR,chemical,18.0
SAAVL,RIMR,chemical,33.0
SAAVL,SABD,chemical,1.0
SAAVL,RMFR,chemical,11.0
RIAL,AIZL,chemical,1.0
RIAL,RIBL,chemical,2.0
RIAL,CEPDL,chemical,1.0
RIAL,RIR,chemical,3.0
RIAL,RIAR,chemical,23.0
RIAL,URXL,chemical,2.0
RIAL,RIVL,chemical,8.0
RIAL,SMDVL,chemical,14.0
RIAL,SMBDR,chemical,7.0
RIAL,AVAL,chemical,2.0
RIAL,RIML,chemical,2.0
RIAL,BAGR,chemical,2.0
RIAL,RIVR,chemical,12.0
RIAL,AQR,chemical,4.0
RIAL,RMDDL,chemical,48.0
RIAL,RMDR,chemical,17.0
RIAL,SIADL,chemical,3.0
RIAL,SIAVR,chemical,2.0
RIAL,RMDDR,chemical,35.0
RIAL,SMDDR,chemical,33.0
RIAL,SAADL,chemical,1.0
RIAL,RMDVL,chemical,48.0
RIAL,SMDDL,chemical,22.0
RIAL,RIMR,chemical,2.0
RIAL,RMDL,chemical,26.0
RIAL,SMDVR,chemical,32.0
RIAL,RMDVR,chemical,48.0
RMFL,SMDVL,chemical,1.0
RMFL,BAGL,chemical,1.0
RMFL,RIBR,chemical,1.0
RMFL,RMDR,chemical,13.0
RMFL,RMHL,chemical,2.0
RMFL,SAAVR,chemical,1.0
RMFL,RIS,chemical,1.0
RMFL,AVKL,chemical,9.0
RMFL,RIMR,chemical,2.0
RMFL,PVT,chemical,3.0
RMFL,DVC,chemical,1.0
RMFL,AVKR,chemical,14.0
ASIR,AWAR,chemical,1.0
ASIR,ASER,chemical,2.0
ASIR,AWCL,chemical,2.0
ASIR,AWCR,chemical,5.0
ASIR,CEPVR,chemical,1.0
ASIR,AIAL,chemical,1.0
ASIR,ASGR,chemical,3.0
ASIR,ASEL,chemical,2.0
ASIR,ASHR,chemical,2.0
ASIR,ADLR,chemical,1.0
ASIR,AIAR,chemical,4.0
ASIR,AIBR,chemical,3.0
ASGR,ASER,chemical,3.0
ASGR,AIYR,chemical,1.0
ASGR,AIAR,chemical,51.0
ASGR,AIBR,chemical,20.0
ASEL,ASER,chemical,2.0
ASEL,AWCL,chemical,16.0
ASEL,AWCR,chemical,11.0
ASEL,AIYL,chemical,32.0
ASEL,AIYR,chemical,21.0
ASEL,AIAL,chemical,6.0
ASEL,AIZL,chemical,1.0
ASEL,AIBL,chemical,16.0
ASEL,AIBR,chemical,13.0
ASEL,ASJL,chemical,1.0
ASEL,AWBL,chemical,1.0
ASEL,ADFR,chemical,1.0
ASEL,AFDR,chemical,3.0
ASEL,RIR,chemical,1.0
ASEL,RIAR,chemical,2.0
ASEL,IL2R,chemical,1.0
ASEL,OLLR,chemical,1.0
ASHR,AWAR,chemical,1.0
ASHR,ASHR,chemical,2.0
ASHR,ADLR,chemical,13.0
ASHR,AIAR,chemical,28.0
ASHR,AIBR,chemical,7.0
ASHR,HSNL,chemical,4.0
ASHR,HSNR,chemical,5.0
ASHR,AWBL,chemical,1.0
ASHR,ADFR,chemical,3.0
ASHR,RIAR,chemical,3.0
ASHR,AVBR,chemical,6.0
ASHR,ADAR,chemical,5.0
ASHR,AVHL,chemical,1.0
ASHR,PVPR,chemical,1.0
ASHR,SMBVR,chemical,7.0
ASHR,AVDL,chemical,27.0
ASHR,AVDR,chemical,2.0
ASHR,AVAR,chemical,10.0
ASHR,RMGR,chemical,6.0
ASHR,AVER,chemical,7.0
ASHR,PVCL,chemical,3.0
ADLR,ASER,chemical,2.0
ADLR,AWCR,chemical,7.0
ADLR,CEPVR,chemical,1.0
ADLR,ASHR,chemical,4.0
ADLR,ADLR,chemical,3.0
ADLR,AIAR,chemical,22.0
ADLR,AIBR,chemical,27.0
ADLR,RIFR,chemical,2.0
ADLR,AVBL,chemical,3.0
ADLR,OLQVR,chemical,1.0
ADLR,AVBR,chemical,7.0
ADLR,OLLR,chemical,1.0
ADLR,URXR,chemical,8.0
ADLR,ADAR,chemical,1.0
ADLR,SMBVR,chemical,5.0
ADLR,AVDL,chemical,26.0
ADLR,AVDR,chemical,3.0
ADLR,AVAR,chemical,8.0
ADLR,PVCL,chemical,3.0
ADLR,AVJL,chemical,2.0
ADLR,AVJR,chemical,3.0
ADLR,URBR,chemical,6.0
ADLR,RICL,chemical,1.0
ADLR,RICR,chemical,5.0
ADLR,RIPR,chemical,2.0
ADLR,SIBVL,chemical,2.0
AIAR,AWAR,chemical,4.0
AIAR,ASER,chemical,5.0
AIAR,AWCL,chemical,6.0
AIAR,AWCR,chemical,6.0
AIAR,ASIR,chemical,2.0
AIAR,ASGR,chemical,5.0
AIAR,ADLR,chemical,10.0
AIAR,AIAR,chemical,1.0
AIAR,AIBR,chemical,33.0
AIAR,ASKR,chemical,1.0
AIAR,AIZR,chemical,2.0
AIAR,RIFR,chemical,10.0
AIAR,ADAR,chemical,4.0
AIBR,AWCR,chemical,1.0
AIBR,AIYR,chemical,1.0
AIBR,RIBL,chemical,11.0
AIBR,RIAL,chemical,2.0
AIBR,RMFL,chemical,1.0
AIBR,ADLR,chemical,1.0
AIBR,AIAR,chemical,1.0
AIBR,RIGL,chemical,1.0
AIBR,AVBR,chemical,13.0
AIBR,AUAL,chemical,1.0
AIBR,SMDVL,chemical,7.0
AIBR,RIML,chemical,47.0
AIBR,AVAR,chemical,2.0
AIBR,RICR,chemical,1.0
AIBR,AVEL,chemical,4.0
AIBR,AQR,chemical,1.0
AIBR,SIADL,chemical,1.0
AIBR,SAAVR,chemical,1.0
AIBR,SAADL,chemical,2.0
AIBR,SAADR,chemical,2.0
AIBR,DVA,chemical,1.0
AIBR,SMDDL,chemical,17.0
AIBR,VB1,chemical,3.0
AIBR,RIMR,chemical,5.0
AIBR,SIBDR,chemical,1.0
AIBR,SIBDL,chemical,1.0
ASJL,ASKL,chemical,12.0
ASJL,ASKR,chemical,1.0
ASJL,CEPDL,chemical,1.0
ASJL,ALA,chemical,3.0
ASJL,PVQL,chemical,34.0
ASJL,HSNL,chemical,1.0
ASJL,HSNR,chemical,1.0
ASKR,AWAR,chemical,2.0
ASKR,ASER,chemical,1.0
ASKR,CEPVR,chemical,2.0
ASKR,AIAL,chemical,1.0
ASKR,ASGR,chemical,1.0
ASKR,ADLR,chemical,3.0
ASKR,AIAR,chemical,35.0
ASKR,AIBR,chemical,2.0
ASKR,ALA,chemical,1.0
ASKR,HSNL,chemical,1.0
ASKR,RIFR,chemical,1.0
ASKR,AIMR,chemical,5.0
CEPDL,RIPL,chemical,8.0
CEPDL,RIBL,chemical,3.0
CEPDL,AFDL,chemical,2.0
CEPDL,RIH,chemical,1.0
CEPDL,SMBDR,chemical,5.0
CEPDL,AVER,chemical,13.0
CEPDL,RICL,chemical,11.0
CEPDL,RICR,chemical,8.0
CEPDL,AINL,chemical,2.0
CEPDL,IL1DL,chemical,18.0
CEPDL,RMGL,chemical,6.0
CEPDL,CEPDR,chemical,1.0
CEPDL,RMDDL,chemical,2.0
CEPDL,RMHL,chemical,1.0
CEPDL,SIADR,chemical,4.0
CEPDL,RMDVL,chemical,13.0
CEPDL,ALML,chemical,2.0
CEPDL,RIS,chemical,3.0
CEPDL,RMHR,chemical,8.0
CEPDL,URYDL,chemical,7.0
CEPDL,OLLL,chemical,8.0
CEPDL,URBL,chemical,11.0
CEPDL,SIBDR,chemical,2.0
CEPDL,IL2DL,chemical,1.0
CEPDL,OLQDL,chemical,27.0
CEPDL,URADL,chemical,8.0
ALA,ASJR,chemical,4.0
ALA,RIAR,chemical,2.0
ALA,AVDR,chemical,1.0
ALA,AVER,chemical,4.0
ALA,AVEL,chemical,8.0
ALA,RMDR,chemical,3.0
ALA,PVDL,chemical,75.0
ALA,PVDR,chemical,75.0
ALA,CANL,chemical,30.0
ALA,CANR,chemical,30.0
PVQL,ASKL,chemical,12.0
PVQL,AIAL,chemical,10.0
PVQL,ASJL,chemical,3.0
PVQL,HSNL,chemical,3.0
PVQL,HSNR,chemical,6.0
PVQL,AWAL,chemical,1.0
PVQL,AVHR,chemical,1.0
PVQL,RMGL,chemical,1.0
PVQL,PVPL,chemical,1.0
PVQL,DA8,chemical,1.0
PVQL,DD6,chemical,1.0
HSNL,AWAR,chemical,3.0
HSNL,ASKL,chemical,3.0
HSNL,AIAL,chemical,8.0
HSNL,AIZL,chemical,6.0
HSNL,ASHR,chemical,1.0
HSNL,ADLR,chemical,1.0
HSNL,ASKR,chemical,2.0
HSNL,PVQL,chemical,1.0
HSNL,HSNL,chemical,1.0
HSNL,HSNR,chemical,5.0
HSNL,ASJR,chemical,2.0
HSNL,AWBL,chemical,5.0
HSNL,ASHL,chemical,3.0
HSNL,AWBR,chemical,3.0
HSNL,RIR,chemical,3.0
HSNL,AIZR,chemical,3.0
HSNL,AIMR,chemical,2.0
HSNL,ADLL,chemical,1.0
HSNL,AVFL,chemical,11.0
HSNL,RIML,chemical,4.0
HSNL,RMGR,chemical,1.0
HSNL,AVJL,chemical,3.0
HSNL,RIFL,chemical,9.0
HSNL,AVFR,chemical,4.0
HSNL,VC5,chemical,9.0
HSNR,AIAL,chemical,3.0
HSNR,AIZL,chemical,3.0
HSNR,AIBL,chemical,2.0
HSNR,HSNL,chemical,1.0
HSNR,PVQR,chemical,1.0
HSNR,AWBL,chemical,2.0
HSNR,ASHL,chemical,4.0
HSNR,AIZR,chemical,1.0
HSNR,RIFR,chemical,6.0
HSNR,AVHR,chemical,2.0
HSNR,AVHL,chemical,2.0
HSNR,PVPR,chemical,1.0
HSNR,AVFL,chemical,4.0
HSNR,AVDR,chemical,1.0
HSNR,RIML,chemical,1.0
HSNR,RMGR,chemical,1.0
HSNR,AVER,chemical,1.0
HSNR,AVJL,chemical,3.0
HSNR,AVEL,chemical,1.0
HSNR,RMDDR,chemical,1.0
HSNR,BDUR,chemical,2.0
HSNR,PVNR,chemical,2.0
HSNR,RIMR,chemical,1.0
HSNR,SABD,chemical,1.0
HSNR,VA6,chemical,2.0
HSNR,PVT,chemical,1.0
HSNR,AVFR,chemical,2.0
HSNR,VC2,chemical,6.0
HSNR,DA5,chemical,2.0
HSNR,SABVR,chemical,1.0
HSNR,DA6,chemical,1.0
HSNR,AS5,chemical,2.0
HSNR,VC3,chemical,1.0
HSNR,DB5,chemical,1.0
HSNR,VC5,chemical,2.0
HSNR,VC4,chemical,1.0
ASJR,ASKR,chemical,12.0
ASJR,HSNR,chemical,1.0
ASJR,PVQR,chemical,19.0
PVQR,AWAR,chemical,4.0
PVQR,ASER,chemical,2.0
PVQR,AIAL,chemical,1.0
PVQR,AIAR,chemical,12.0
PVQR,ASJL,chemical,1.0
PVQR,ASKR,chemical,6.0
PVQR,RIFR,chemical,4.0
PVQR,AIMR,chemical,2.0
PVQR,AVBR,chemical,1.0
PVQR,RMGR,chemical,1.0
PVQR,DD1,chemical,1.0
PVQR,AVL,chemical,2.0
PVQR,PVT,chemical,1.0
PVQR,DVC,chemical,1.0
PVQR,AVFR,chemical,1.0
PVQR,DD6,chemical,2.0
PVQR,VD1,chemical,1.0
PVQR,VC2,chemical,1.0
AWAL,ASGL,chemical,1.0
AWAL,AIYL,chemical,3.0
AWAL,AIZL,chemical,23.0
AWAL,ASEL,chemical,7.0
AWAL,AWBL,chemical,9.0
AWAL,AFDL,chemical,7.0
AWAL,ASHL,chemical,2.0
AWAL,ADAL,chemical,2.0
AWBL,ADFL,chemical,25.0
AWBL,AWCL,chemical,1.0
AWBL,AIYL,chemical,1.0
AWBL,AIAL,chemical,4.0
AWBL,AIZL,chemical,15.0
AWBL,RIAL,chemical,10.0
AWBL,ASEL,chemical,1.0
AWBL,AIBR,chemical,1.0
AWBL,HSNL,chemical,1.0
AWBL,AWAL,chemical,2.0
AWBL,ASHL,chemical,2.0
AWBL,AVHR,chemical,2.0
AWBL,RIGL,chemical,2.0
AWBL,AVBL,chemical,2.0
AWBL,SMBDL,chemical,2.0
AWBL,SMBVL,chemical,3.0
AFDL,ASER,chemical,1.0
AFDL,AIYL,chemical,25.0
AFDL,AIBL,chemical,1.0
AFDL,ASEL,chemical,1.0
AFDL,AWBL,chemical,4.0
AFDL,AFDL,chemical,1.0
AFDL,AINR,chemical,3.0
ASHL,RIPL,chemical,4.0
ASHL,ADFL,chemical,6.0
ASHL,ASKL,chemical,1.0
ASHL,AIAL,chemical,24.0
ASHL,AIZL,chemical,3.0
ASHL,AIBL,chemical,13.0
ASHL,RIAL,chemical,9.0
ASHL,HSNL,chemical,2.0
ASHL,ADAL,chemical,2.0
ASHL,RIR,chemical,4.0
ASHL,AVHR,chemical,2.0
ASHL,AVBL,chemical,14.0
ASHL,ADLL,chemical,6.0
ASHL,URXL,chemical,2.0
ASHL,AVAL,chemical,15.0
ASHL,AVFL,chemical,2.0
ASHL,AVDL,chemical,7.0
ASHL,AVDR,chemical,20.0
ASHL,RIML,chemical,4.0
ASHL,AVAR,chemical,1.0
ADAL,RIPL,chemical,4.0
ADAL,AIAL,chemical,2.0
ADAL,AIBL,chemical,2.0
ADAL,AIBR,chemical,2.0
ADAL,ADAL,chemical,6.0
ADAL,AVBL,chemical,5.0
ADAL,AVBR,chemical,21.0
ADAL,ADLL,chemical,2.0
ADAL,URXL,chemical,2.0
ADAL,AVAL,chemical,3.0
ADAL,AVDL,chemical,1.0
ADAL,AVDR,chemical,2.0
ADAL,RIML,chemical,9.0
ADAL,AVAR,chemical,7.0
ADAL,AVJR,chemical,11.0
ADAL,RICL,chemical,3.0
ADAL,RICR,chemical,1.0
ADAL,AVEL,chemical,3.0
ADAL,PVPL,chemical,1.0
ADAL,SMDVR,chemical,3.0
ADAL,URAVL,chemical,1.0
AWBR,ASER,chemical,1.0
AWBR,AIYR,chemical,1.0
AWBR,ASGR,chemical,1.0
AWBR,ASHR,chemical,2.0
AWBR,HSNL,chemical,2.0
AWBR,HSNR,chemical,2.0
AWBR,ADFR,chemical,7.0
AWBR,RIR,chemical,7.0
AWBR,AIZR,chemical,8.0
AWBR,RIFR,chemical,1.0
AWBR,URYVR,chemical,1.0
AWBR,OLQVR,chemical,1.0
AWBR,AIMR,chemical,1.0
AWBR,RIAR,chemical,3.0
AWBR,AVBR,chemical,2.0
ADFR,AWAR,chemical,1.0
ADFR,AWCR,chemical,1.0
ADFR,AIYR,chemical,2.0
ADFR,ASHR,chemical,6.0
ADFR,AWBR,chemical,4.0
ADFR,ADFR,chemical,1.0
ADFR,AFDR,chemical,1.0
ADFR,RIR,chemical,7.0
ADFR,AUAR,chemical,9.0
ADFR,AIZR,chemical,37.0
ADFR,RIGR,chemical,24.0
ADFR,URYVR,chemical,2.0
ADFR,OLQVR,chemical,1.0
ADFR,RIAR,chemical,61.0
ADFR,BAGL,chemical,6.0
